id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
144899438,,35000,35000,35000, 36 months,14.47%,1204.23,C,C2,Staff Physician,8 years,MORTGAGE,360000,Verified,18-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=144899438,,credit_card,Credit card refinancing,336xx,FL,19.9,0,Apr-95,700,704,1,,,24,0,57259,43.20%,51,w,0,0,38187.04684,38187.05,35000,3187.05,0,0,0,19-Aug,29882.16,,19-Sep,704,700,0,,1,Individual,,,,0,0,828060,0,6,1,2,9,112027,29,4,8,19118,36,132400,3,2,5,11,34503,67341,46,0,0,173,284,8,8,3,8,,0,,0,11,11,13,20,23,16,24,11,24,0,0,0,5,100,30.8,0,0,1222051,169286,124600,258401,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
144943072,,5000,5000,5000, 36 months,22.35%,191.86,D,D5,Director of Sales,10+ years,MORTGAGE,72000,Source Verified,18-Dec,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=144943072,,debt_consolidation,Debt consolidation,333xx,FL,20.12,0,10-Mar,665,669,0,,,13,0,11720,47.10%,26,f,0,0,5615.977674,5615.98,5000,615.98,0,0,0,19-Jul,4474.13,,19-Aug,654,650,0,,1,Individual,,,,0,534,189279,0,1,0,1,18,22698,,0,0,4056,47,24900,1,0,1,2,14560,8163,55.1,0,0,105,90,29,8,5,40,,9,,0,6,11,6,8,4,11,17,11,13,0,0,0,1,100,50,0,0,218686,34418,18200,37786,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
144974419,,10000,10000,10000, 60 months,23.40%,284.21,E,E1,,< 1 year,RENT,55000,Source Verified,18-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=144974419,,debt_consolidation,Debt consolidation,902xx,CA,13.51,0,7-Apr,675,679,0,44,88,9,1,11859,53.90%,11,w,8694.39,8694.39,3675.23,3675.23,1305.61,2369.62,0,0,0,20-Jan,284.21,20-Feb,20-Jan,664,660,0,,1,Individual,,,,0,0,21235,0,1,0,1,20,9376,76,0,3,3122,62,22000,1,0,0,4,2359,1119,89.3,0,0,140,140,13,13,0,13,,15,44,0,4,7,4,5,2,8,9,7,9,0,0,0,0,90.9,100,1,0,34386,21235,10500,12386,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
145055546,,17100,17100,17100, 36 months,18.94%,626.3,D,D2,Receptionist ,10+ years,RENT,38000,Verified,18-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=145055546,,debt_consolidation,Debt consolidation,150xx,PA,38.09,0,Mar-98,700,704,1,47,,14,0,15323,53%,21,w,12001.54,12001.54,8114.91,8114.91,5098.46,3016.45,0,0,0,20-Jan,626.3,20-Feb,20-Jan,814,810,0,,1,Individual,,,,0,0,43351,1,2,1,1,10,28028,67,1,5,7533,53,29170,0,0,2,6,3096,4150,77,0,0,125,230,5,5,2,5,,5,,0,4,12,5,5,5,12,14,9,14,,0,0,2,95,75,0,0,70954,43351,16600,41784,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
145375687,,4000,4000,4000, 36 months,10.72%,130.43,B,B2,Extrusion assistant ,10+ years,MORTGAGE,56000,Verified,18-Dec,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=145375687,,credit_card,Credit card refinancing,301xx,GA,31.03,0,6-Sep,675,679,0,,,7,0,4518,28.60%,11,w,2700.74,2700.74,1682.5,1682.5,1299.26,383.24,0,0,0,20-Jan,130.43,20-Feb,20-Jan,704,700,1,,1,Individual,,,,0,136,192983,0,2,0,2,14,66857,,0,3,1608,29,15800,3,0,0,5,27569,7835,36.3,0,0,147,29,22,14,1,22,,17,,0,3,4,3,3,6,4,4,4,7,0,0,0,0,100,0,0,0,221310,71375,12300,77865,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
